event,timestamp,mouse_x,mouse_y
MouseEvents.MOVE,1742458150.7141974,6,372
MouseEvents.MOVE,1742458150.7214758,12,382
MouseEvents.MOVE,1742458150.7292078,22,395
MouseEvents.MOVE,1742458150.7371109,42,412
MouseEvents.MOVE,1742458150.7448459,64,430
MouseEvents.MOVE,1742458150.7526624,88,444
MouseEvents.MOVE,1742458150.7600193,112,457
MouseEvents.MOVE,1742458150.767981,141,472
MouseEvents.MOVE,1742458150.7746716,165,485
MouseEvents.MOVE,1742458150.7817602,190,496
MouseEvents.MOVE,1742458150.7892437,214,507
MouseEvents.MOVE,1742458150.7955217,233,514
MouseEvents.MOVE,1742458150.803551,252,519
MouseEvents.MOVE,1742458150.81012,270,522
MouseEvents.MOVE,1742458150.8167038,285,523
MouseEvents.MOVE,1742458150.8241346,298,524
MouseEvents.MOVE,1742458150.8306413,313,524
MouseEvents.MOVE,1742458150.837956,326,523
MouseEvents.MOVE,1742458150.8445315,338,521
MouseEvents.MOVE,1742458150.8515186,350,518
MouseEvents.MOVE,1742458150.8585029,361,516
MouseEvents.MOVE,1742458150.866482,372,515
MouseEvents.MOVE,1742458150.8739722,380,514
MouseEvents.MOVE,1742458150.8809536,392,513
MouseEvents.MOVE,1742458150.8879347,404,512
MouseEvents.MOVE,1742458150.8949165,414,510
MouseEvents.MOVE,1742458150.9018981,421,509
MouseEvents.MOVE,1742458150.9089184,426,508
MouseEvents.MOVE,1742458150.9163861,433,506
MouseEvents.MOVE,1742458150.9231954,440,503
MouseEvents.MOVE,1742458150.9297888,450,501
MouseEvents.MOVE,1742458150.936785,460,497
MouseEvents.MOVE,1742458150.9442601,467,495
MouseEvents.MOVE,1742458150.9513958,471,493
MouseEvents.MOVE,1742458150.9581082,477,489
MouseEvents.MOVE,1742458150.965242,482,484
MouseEvents.MOVE,1742458150.9731274,488,477
MouseEvents.MOVE,1742458150.9795935,494,471
MouseEvents.MOVE,1742458150.988274,502,463
MouseEvents.MOVE,1742458150.994177,512,454
MouseEvents.MOVE,1742458151.0014586,520,445
MouseEvents.MOVE,1742458151.007712,524,439
MouseEvents.MOVE,1742458151.014943,527,432
MouseEvents.MOVE,1742458151.0220633,529,426
MouseEvents.MOVE,1742458151.0293827,529,421
MouseEvents.MOVE,1742458151.035611,530,416
MouseEvents.MOVE,1742458151.0429604,530,412
MouseEvents.MOVE,1742458151.0503404,530,406
MouseEvents.MOVE,1742458151.0565946,529,401
MouseEvents.MOVE,1742458151.0636613,528,396
MouseEvents.MOVE,1742458151.0724304,527,393
MouseEvents.MOVE,1742458151.0794113,525,389
MouseEvents.MOVE,1742458151.0863934,523,384
MouseEvents.MOVE,1742458151.0927978,520,378
MouseEvents.MOVE,1742458151.1002321,517,374
MouseEvents.MOVE,1742458151.1071706,513,369
MouseEvents.MOVE,1742458151.1141593,512,364
MouseEvents.MOVE,1742458151.1209147,510,362
MouseEvents.MOVE,1742458151.128726,509,361
MouseEvents.MOVE,1742458151.1351802,507,360
MouseEvents.MOVE,1742458151.1417637,507,359
MouseEvents.MOVE,1742458151.1500661,506,359
MouseEvents.MOVE,1742458151.156657,505,358
MouseEvents.MOVE,1742458151.1630948,505,357
MouseEvents.MOVE,1742458151.1706915,504,357
MouseEvents.MOVE,1742458151.1780608,504,357
MouseEvents.MOVE,1742458151.1852856,504,357
MouseEvents.MOVE,1742458151.192533,503,356
MouseEvents.MOVE,1742458151.2069407,502,356
MouseEvents.MOVE,1742458151.2208822,502,356
MouseEvents.MOVE,1742458151.241767,501,356
MouseEvents.MOVE,1742458151.255733,501,356
MouseEvents.MOVE,1742458151.2715633,500,356
MouseEvents.MOVE,1742458151.3202827,500,356
MouseEvents.MOVE,1742458151.3342016,500,356
MouseEvents.MOVE,1742458151.3475437,500,355
MouseEvents.MOVE,1742458151.3542674,499,355
MouseEvents.MOVE,1742458151.3610036,499,354
MouseEvents.MOVE,1742458151.368528,498,353
MouseEvents.MOVE,1742458151.3761458,498,352
MouseEvents.MOVE,1742458151.3836071,498,351
MouseEvents.MOVE,1742458151.3902116,497,350
MouseEvents.MOVE,1742458151.3975263,497,350
MouseEvents.MOVE,1742458151.4040732,497,348
MouseEvents.MOVE,1742458151.411339,496,348
MouseEvents.MOVE,1742458151.41864,496,347
MouseEvents.MOVE,1742458151.4252007,496,347
MouseEvents.MOVE,1742458151.4325147,496,346
MouseEvents.MOVE,1742458151.4397917,495,346
MouseEvents.MOVE,1742458151.446084,495,345
MouseEvents.MOVE,1742458151.4532158,495,344
MouseEvents.MOVE,1742458151.4605408,494,342
MouseEvents.MOVE,1742458151.4688225,494,340
MouseEvents.MOVE,1742458151.4752727,492,338
MouseEvents.MOVE,1742458151.4833684,491,335
MouseEvents.MOVE,1742458151.490005,491,332
MouseEvents.MOVE,1742458151.4976037,489,330
MouseEvents.MOVE,1742458151.504666,489,327
MouseEvents.MOVE,1742458151.5113351,488,327
MouseEvents.MOVE,1742458151.518487,488,326
MouseEvents.MOVE,1742458151.5325797,488,325
MouseEvents.MOVE,1742458151.5390494,487,324
MouseEvents.MOVE,1742458151.552628,487,324
MouseEvents.MOVE,1742458151.5675206,486,323
MouseEvents.MOVE,1742458151.5816383,486,323
MouseEvents.CLICK,1742458151.794393,486,323
MouseEvents.CLICK,1742458151.91386,486,323
MouseEvents.MOVE,1742458153.1558576,487,320
MouseEvents.MOVE,1742458153.1630306,488,317
MouseEvents.MOVE,1742458153.1710882,490,314
MouseEvents.MOVE,1742458153.177589,491,312
MouseEvents.MOVE,1742458153.1845691,493,311
MouseEvents.MOVE,1742458153.1915505,495,308
MouseEvents.MOVE,1742458153.198532,497,306
MouseEvents.MOVE,1742458153.2055125,501,301
MouseEvents.MOVE,1742458153.2126627,508,297
MouseEvents.MOVE,1742458153.2198722,518,289
MouseEvents.MOVE,1742458153.2268548,527,284
MouseEvents.MOVE,1742458153.233741,535,279
MouseEvents.MOVE,1742458153.2412887,544,272
MouseEvents.MOVE,1742458153.2476406,550,268
MouseEvents.MOVE,1742458153.2547455,552,266
MouseEvents.MOVE,1742458153.261729,555,264
MouseEvents.MOVE,1742458153.2697077,556,264
MouseEvents.MOVE,1742458153.2771974,557,263
MouseEvents.MOVE,1742458153.2841787,557,263
MouseEvents.MOVE,1742458153.2911606,558,262
MouseEvents.MOVE,1742458153.298141,559,261
MouseEvents.MOVE,1742458153.3051233,560,261
MouseEvents.MOVE,1742458153.3121903,560,260
MouseEvents.MOVE,1742458153.3196418,560,260
MouseEvents.MOVE,1742458153.3264453,561,259
MouseEvents.MOVE,1742458153.3339095,562,258
MouseEvents.MOVE,1742458153.340777,563,258
MouseEvents.MOVE,1742458153.346993,563,258
MouseEvents.MOVE,1742458153.3550353,565,257
MouseEvents.MOVE,1742458153.363525,565,256
MouseEvents.MOVE,1742458153.370732,566,256
MouseEvents.MOVE,1742458153.380068,566,256
MouseEvents.MOVE,1742458153.3875349,566,256
MouseEvents.MOVE,1742458153.3949583,566,255
MouseEvents.MOVE,1742458153.4036791,567,255
MouseEvents.MOVE,1742458153.41048,567,255
MouseEvents.MOVE,1742458153.4187505,567,255
MouseEvents.MOVE,1742458153.442636,568,255
MouseEvents.MOVE,1742458153.603015,568,254
MouseEvents.MOVE,1742458153.6818626,568,254
MouseEvents.MOVE,1742458205.556772,563,257
MouseEvents.MOVE,1742458205.564962,555,261
MouseEvents.MOVE,1742458205.5714254,549,266
MouseEvents.MOVE,1742458205.5801904,541,270
MouseEvents.MOVE,1742458205.5863142,533,276
MouseEvents.MOVE,1742458205.5935924,526,281
MouseEvents.MOVE,1742458205.6007245,519,286
MouseEvents.MOVE,1742458205.6086178,514,289
MouseEvents.MOVE,1742458205.615637,510,292
MouseEvents.MOVE,1742458205.6222827,505,296
MouseEvents.MOVE,1742458205.6298425,501,298
MouseEvents.MOVE,1742458205.6367993,496,301
MouseEvents.MOVE,1742458205.6437807,493,305
MouseEvents.MOVE,1742458205.6509593,490,306
MouseEvents.MOVE,1742458205.657282,488,309
MouseEvents.MOVE,1742458205.6639373,485,311
MouseEvents.MOVE,1742458205.67099,483,312
MouseEvents.MOVE,1742458205.6783292,481,316
MouseEvents.MOVE,1742458205.6848805,478,318
MouseEvents.MOVE,1742458205.69258,477,321
MouseEvents.MOVE,1742458205.6996086,473,324
MouseEvents.MOVE,1742458205.7079306,472,326
MouseEvents.MOVE,1742458205.7149882,469,329
MouseEvents.MOVE,1742458205.7219834,467,331
MouseEvents.MOVE,1742458205.7286677,466,332
MouseEvents.MOVE,1742458205.7352543,463,335
MouseEvents.MOVE,1742458205.742811,462,336
MouseEvents.MOVE,1742458205.749652,461,337
MouseEvents.MOVE,1742458205.757164,460,339
MouseEvents.MOVE,1742458205.763716,458,340
MouseEvents.MOVE,1742458205.7700276,457,342
MouseEvents.MOVE,1742458205.776884,456,343
MouseEvents.MOVE,1742458205.7844179,455,345
MouseEvents.MOVE,1742458205.7918897,453,347
MouseEvents.MOVE,1742458205.798521,452,350
MouseEvents.MOVE,1742458205.8066814,451,352
MouseEvents.MOVE,1742458205.8138106,450,354
MouseEvents.MOVE,1742458205.8204112,448,356
MouseEvents.MOVE,1742458205.8273447,447,358
